City,State,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Manacapuru,Amazonas,07-01-2020,87.3,74.6,81.2,,97.2,0,,10.2,,37,84.36,Partially cloudy
Manacapuru,Amazonas,07-02-2020,89.1,75.8,80.9,,101.8,0,,7,,41.7,85.67,Partially cloudy
Manacapuru,Amazonas,07-03-2020,85.5,75.2,78.9,,95,0,,7.8,,59.9,88.78,Partially cloudy
Manacapuru,Amazonas,07-04-2020,89.1,74,80.2,,99.4,0,,6.2,,53.7,86.33,Partially cloudy
Manacapuru,Amazonas,07-05-2020,86,74,79.3,,94.1,0,,11.3,,55.2,87.42,Partially cloudy
Manacapuru,Amazonas,07-06-2020,90.9,74,81.1,,102,0,,10.2,,44.2,80.79,Partially cloudy
Manacapuru,Amazonas,07-07-2020,87.9,76.4,80.2,,98.6,0,,7.3,,42.1,85.98,Partially cloudy
Manacapuru,Amazonas,07-08-2020,89.1,75.2,81,,99.6,0,,6.6,,42.5,81.9,Partially cloudy
Manacapuru,Amazonas,07-09-2020,89.6,74.6,81.1,,101,0,,9.6,,23.3,80.78,Clear
Manacapuru,Amazonas,07-10-2020,87.3,72.2,79.3,,98.5,0,,12.8,,38.5,85.06,Partially cloudy
Manacapuru,Amazonas,07-11-2020,88.5,73.3,80.3,,98.6,0,,8.1,,36.6,82.02,Partially cloudy
Manacapuru,Amazonas,07-12-2020,90.9,72.8,81.4,,99.2,0,,10.7,,27.3,79.12,Partially cloudy
Manacapuru,Amazonas,07/13/2020,89.1,75.8,81.3,,100.2,0,,6.9,20.8,44,83.6,Partially cloudy
Manacapuru,Amazonas,07/14/2020,89.1,72.9,80.3,,100.2,0,,7.3,,41.3,83.17,Partially cloudy
Manacapuru,Amazonas,07/15/2020,90.9,74.6,82.6,,99.5,0,,11.3,,22.4,75.6,Clear
Manacapuru,Amazonas,07/16/2020,89.1,74.6,80.2,,98.8,0,,8.1,,29.6,83.22,Partially cloudy
Manacapuru,Amazonas,07/17/2020,89.6,74,82.7,,100.2,0,,10.6,,30.6,76.48,Partially cloudy
Manacapuru,Amazonas,07/18/2020,90.9,76.4,82.9,,100.2,0,,14.7,,21.3,76.71,Clear
Manacapuru,Amazonas,07/19/2020,92.1,74.6,83,,96.3,0,,12.4,,20.7,72.39,Clear
Manacapuru,Amazonas,07/20/2020,92.7,74.6,82.4,,97,0,,12.1,,9.5,71.41,Clear
Manacapuru,Amazonas,07/21/2020,92.1,76.4,82.9,,98.9,0,,10.3,,38.5,71.64,Partially cloudy
Manacapuru,Amazonas,07/22/2020,89.1,75.8,80.9,,96.8,0,,5.8,,45.9,79.7,Partially cloudy
Manacapuru,Amazonas,07/23/2020,88.4,75.8,80.5,,98.3,0,,7,,30.3,80.85,Partially cloudy
Manacapuru,Amazonas,07/24/2020,85.5,75.2,79.8,,94.9,0,,7.8,,30,85.54,Partially cloudy
Manacapuru,Amazonas,07/25/2020,92.1,76.4,83.2,,98.6,0,,10.5,,23,75.18,Clear
Manacapuru,Amazonas,07/26/2020,92.7,75.1,83.1,,99.5,0,,11.3,,30,72.16,Partially cloudy
Manacapuru,Amazonas,07/27/2020,92.7,73.3,82.8,,98.5,0,,8.5,,17.3,70.09,Clear
Manacapuru,Amazonas,07/28/2020,89.1,75.2,81.4,,97.2,0,,7.8,,26.8,77.08,Partially cloudy
Manacapuru,Amazonas,07/29/2020,92.7,73.3,82.5,,95.8,0,,14.3,,6.7,67.09,Clear
Manacapuru,Amazonas,07/30/2020,93.2,69.7,81.8,,93.3,0,,8.9,,0,62.53,Clear
Manacapuru,Amazonas,07/31/2020,94.5,71.5,82.6,,98.3,0,,9.3,,3.9,66.8,Clear
Manaus,Amazonas,07-01-2020,87.3,74.6,81.2,,97.3,0,,10.2,,37.3,84.36,Partially cloudy
Manaus,Amazonas,07-02-2020,89.1,75.8,80.9,,101.8,0,,7,,42.4,85.65,Partially cloudy
Manaus,Amazonas,07-03-2020,85.5,75.2,78.9,,95,0,,7.7,,61,88.78,Partially cloudy
Manaus,Amazonas,07-04-2020,89.1,74,80.2,,99.5,0,,6.2,,54.2,86.32,Partially cloudy
Manaus,Amazonas,07-05-2020,86,74,79.3,,94.1,0,,11.3,,56,87.41,Partially cloudy
Manaus,Amazonas,07-06-2020,90.9,74,81.1,,102,0,,10.2,,44.9,80.78,Partially cloudy
Manaus,Amazonas,07-07-2020,87.9,76.4,80.2,,98.6,0,,7.3,,42.2,85.97,Partially cloudy
Manaus,Amazonas,07-08-2020,89.1,75.2,81,,99.6,0,,6.6,,43,81.88,Partially cloudy
Manaus,Amazonas,07-09-2020,89.6,74.6,81.1,,101.1,0,,9.6,,23.2,80.77,Clear
Manaus,Amazonas,07-10-2020,87.3,72.2,79.3,,98.5,0,,12.8,,38.9,85.05,Partially cloudy
Manaus,Amazonas,07-11-2020,88.5,73.4,80.3,,98.7,0,,8.1,,36.7,81.99,Partially cloudy
Manaus,Amazonas,07-12-2020,90.9,72.8,81.4,,99.2,0,,10.7,,27.2,79.12,Partially cloudy
Manaus,Amazonas,07/13/2020,89.1,75.8,81.3,,100.3,0,,6.9,20.8,44.3,83.59,Partially cloudy
Manaus,Amazonas,07/14/2020,89.1,72.9,80.3,,100.3,0,,7.3,,41.3,83.16,Partially cloudy
Manaus,Amazonas,07/15/2020,90.9,74.6,82.6,,99.6,0,,11.3,,22.4,75.6,Clear
Manaus,Amazonas,07/16/2020,89.1,74.6,80.2,,98.8,0,,8.1,,29.4,83.21,Partially cloudy
Manaus,Amazonas,07/17/2020,89.6,74,82.7,,100.3,0,,10.5,,30.8,76.49,Partially cloudy
Manaus,Amazonas,07/18/2020,90.9,76.4,82.9,,100.3,0,,14.7,,21.4,76.71,Clear
Manaus,Amazonas,07/19/2020,92.1,74.6,83.1,,96.3,0,,12.4,,20.7,72.4,Clear
Manaus,Amazonas,07/20/2020,92.7,74.6,82.5,,97.1,0,,12.1,,9.5,71.4,Clear
Manaus,Amazonas,07/21/2020,92.1,76.4,82.9,,98.9,0,,10.3,,39.3,71.63,Partially cloudy
Manaus,Amazonas,07/22/2020,89.1,75.8,80.9,,96.8,0,,5.8,,46.5,79.67,Partially cloudy
Manaus,Amazonas,07/23/2020,88.4,75.8,80.5,,98.4,0,,7,,30.1,80.83,Partially cloudy
Manaus,Amazonas,07/24/2020,85.5,75.2,79.8,,94.9,0,,7.7,,30.4,85.53,Partially cloudy
Manaus,Amazonas,07/25/2020,92.1,76.4,83.2,,98.7,0,,10.5,,22.8,75.18,Clear
Manaus,Amazonas,07/26/2020,92.7,75.2,83.1,,99.5,0,,11.3,,30.3,72.15,Partially cloudy
Manaus,Amazonas,07/27/2020,92.7,73.4,82.7,,98.5,0,,8.5,,16.8,70.52,Clear
Manaus,Amazonas,07/28/2020,89.1,75.2,81.4,,97.3,0,,7.7,,27.2,77.07,Partially cloudy
Manaus,Amazonas,07/29/2020,92.7,73.4,82.5,,95.9,0,,14.3,,6.7,67.09,Clear
Manaus,Amazonas,07/30/2020,92.7,69.8,81.8,,93.5,0,,8.8,,0,62.62,Clear
Manaus,Amazonas,07/31/2020,94.5,71.6,82.6,,98.3,0,,9.3,,4,66.79,Clear
Porto Seguro,Bahia,07-01-2020,84.2,68,74.6,,86.5,0,,14.8,,38.9,80.18,Partially cloudy
Porto Seguro,Bahia,07-02-2020,82.4,69.8,74.9,,87.2,0,,13.7,,21.2,79.96,Clear
Porto Seguro,Bahia,07-03-2020,80.6,66.2,73.8,,83.9,0,,14.8,,25.4,84.3,Partially cloudy
Porto Seguro,Bahia,07-04-2020,80.6,68,73.3,,83.3,0,,9.1,,50.6,85.18,Partially cloudy
Porto Seguro,Bahia,07-05-2020,77,71.6,74.3,,,0,,11.3,20.8,70.2,82.34,Partially cloudy
Porto Seguro,Bahia,07-06-2020,78.8,69.8,73,,,0,,17,,76.4,85.17,Overcast
Porto Seguro,Bahia,07-07-2020,80.6,68,73.8,,83.8,0,,8,,46.2,77.6,Partially cloudy
Porto Seguro,Bahia,07-08-2020,80.6,64.4,72,,82.7,0,,8,,35.9,77.32,Partially cloudy
Porto Seguro,Bahia,07-09-2020,80.6,64.4,72.2,,83.3,0,,9.1,,38.8,82.87,Partially cloudy
Porto Seguro,Bahia,07-10-2020,80.6,64.4,72.3,,82.3,0,,8,,38.4,80.52,Partially cloudy
Porto Seguro,Bahia,07-11-2020,78.8,66.2,72.2,,,0,,8,,53.3,84.07,Partially cloudy
Porto Seguro,Bahia,07-12-2020,77,68,71.2,,,0,,8,,59.4,88.13,Partially cloudy
Porto Seguro,Bahia,07/13/2020,78.8,68,72.8,,,0,,8,,75.5,85.45,Overcast
Porto Seguro,Bahia,07/14/2020,80.6,66.2,73.2,,84,0,,9.1,,19.5,84.52,Clear
Porto Seguro,Bahia,07/15/2020,80.6,66.2,72.3,,83.9,0,,6.9,,47.5,84.83,Partially cloudy
Porto Seguro,Bahia,07/16/2020,75.2,68,73.2,,,0,,14.9,,74.5,79.59,Partially cloudy
Porto Seguro,Bahia,07/17/2020,77,66.2,73.5,,,0,,11.4,21.9,60.4,70.49,Partially cloudy
Porto Seguro,Bahia,07/18/2020,78.8,64.4,70.7,,,0,,9.1,,62.4,75.58,Partially cloudy
Porto Seguro,Bahia,07/19/2020,78.8,64.4,70.7,,,0,,12.6,,60,84.38,Partially cloudy
Porto Seguro,Bahia,07/20/2020,78.8,68,73.3,,,0,,10.2,,56.5,82.5,Partially cloudy
Porto Seguro,Bahia,07/21/2020,78.8,66.1,74.8,,,0,,10.3,,38.9,67.08,Partially cloudy
Porto Seguro,Bahia,07/22/2020,80.6,64.3,70.7,,81.4,0,,9.1,,22.6,73.66,Clear
Porto Seguro,Bahia,07/23/2020,77,60.8,69.1,,,0,,6.9,,37.9,83.78,Partially cloudy
Porto Seguro,Bahia,07/24/2020,78.8,66.2,74.1,,,0,,14.8,23,49.3,70.86,Partially cloudy
Porto Seguro,Bahia,07/25/2020,78.8,64.4,71.4,,,0,,8,,47.8,83.82,Partially cloudy
Porto Seguro,Bahia,07/26/2020,78.8,71.5,74.4,,,0,,16,,55.4,82.31,Partially cloudy
Porto Seguro,Bahia,07/27/2020,78.8,66.2,72.6,,,0,,11.4,,37.6,77.11,Partially cloudy
Porto Seguro,Bahia,07/28/2020,78.8,66.2,71.3,,,0,,12.6,,54.5,81.33,Partially cloudy
Porto Seguro,Bahia,07/29/2020,78.8,62.6,71.3,,,0,,9.1,,31.5,77.54,Partially cloudy
Porto Seguro,Bahia,07/30/2020,78.8,62.5,70.3,,,0,,8,,41,79.62,Partially cloudy
Porto Seguro,Bahia,07/31/2020,78.8,68,73.8,,,0,,9.2,,57.1,72.78,Partially cloudy
Salvador,Bahia,07-01-2020,82.4,71.6,76.4,,84.4,0,,6.9,,8.6,72.46,Clear
Salvador,Bahia,07-02-2020,82.4,68,75.9,,86.2,0,,11.4,,15,81.51,Clear
Salvador,Bahia,07-03-2020,82.4,71.6,76.5,,87.2,0,,10.3,,16,84.66,Clear
Salvador,Bahia,07-04-2020,82.4,71.6,76.2,,86.6,0,,9.2,,21.6,83.02,Clear
Salvador,Bahia,07-05-2020,83.5,76.3,78.8,,87.3,0,,12.8,,11.1,71.39,Clear
Salvador,Bahia,07-06-2020,82.4,74.5,77.9,,85.9,0,,15,,9.5,70.92,Clear
Salvador,Bahia,07-07-2020,80.6,71.8,75.9,,83.4,0,,12.8,,18.6,77.6,Clear
Salvador,Bahia,07-08-2020,81.6,71,75.1,,86.1,0,,12.8,,25.9,88.27,Partially cloudy
Salvador,Bahia,07-09-2020,78.8,71.7,73.9,,,0,,15,,27.5,92.93,Partially cloudy
Salvador,Bahia,07-10-2020,81.8,71.9,76.3,,85.9,0,,9.2,,25.1,80.38,Partially cloudy
Salvador,Bahia,07-11-2020,80.6,71.9,75.7,,83.9,0,,12.8,,17.4,77.52,Clear
Salvador,Bahia,07-12-2020,80.7,72.7,76.8,,84.9,0,,11.4,,17.6,79.44,Clear
Salvador,Bahia,07/13/2020,80.6,71,75.7,,84.6,0,,11.4,,30,85.03,Partially cloudy
Salvador,Bahia,07/14/2020,79.1,71.7,73.8,,,0,,10.3,,15.4,90.24,Clear
Salvador,Bahia,07/15/2020,82.5,71.6,76.4,,87.6,0,,12.8,,13.6,82.94,Clear
Salvador,Bahia,07/16/2020,80.7,71.6,76.4,,83.7,0,,11.4,25.3,11,77.41,Clear
Salvador,Bahia,07/17/2020,77,69.9,73.4,,,0,,13.9,,27,87.04,Partially cloudy
Salvador,Bahia,07/18/2020,79.9,70,74.7,,,0,,15,27.7,6.4,79.29,Clear
Salvador,Bahia,07/19/2020,79.1,69.8,74.5,,,0,,6.9,35.8,5,80.9,Clear
Salvador,Bahia,07/20/2020,80.9,71.9,75.6,,85.3,0,,13.9,,6.5,80.8,Clear
Salvador,Bahia,07/21/2020,81.6,70.8,76.2,,85.7,0,,15,,5.1,78.08,Clear
Salvador,Bahia,07/22/2020,80,70.2,75.1,,,0,,15,,17,77.31,Clear
Salvador,Bahia,07/23/2020,81.7,71.9,76.4,,85.4,0,,10.3,,13.8,79.98,Clear
Salvador,Bahia,07/24/2020,81.7,71.1,76.5,,84.9,0,,16.1,,13.4,72.49,Clear
Salvador,Bahia,07/25/2020,82.4,72.7,76.4,,85.5,0,,5.8,,4.4,71.55,Clear
Salvador,Bahia,07/26/2020,81.6,72,75.3,,85.6,0,,13.9,,7.3,84.81,Clear
Salvador,Bahia,07/27/2020,81.8,71.9,76.2,,85.8,0,,17.2,,9.4,81.98,Clear
Salvador,Bahia,07/28/2020,81.6,74.5,76.9,,85,0,,16.1,,6.8,72.86,Clear
Salvador,Bahia,07/29/2020,80.9,73.8,76.9,,83.5,0,,9.2,,3.3,68.87,Clear
Salvador,Bahia,07/30/2020,81.7,72.1,76.8,,83.7,0,,12.8,,6.7,67.66,Clear
Salvador,Bahia,07/31/2020,80.9,72,76.2,,83.8,0,,15,35.8,15.2,76.37,Clear
Camocim,Ceará,07-01-2020,86.2,74.9,80.7,,91.5,0,,15,,35.6,74.48,Partially cloudy
Camocim,Ceará,07-02-2020,85.9,76.3,80.5,,90.7,0,,14.6,,30.6,74.35,Partially cloudy
Camocim,Ceará,07-03-2020,84,76.7,80.2,,88.9,0,,16.5,,35.5,77.9,Partially cloudy
Camocim,Ceará,07-04-2020,86.3,76.7,80.8,,90.2,0,,20.4,,24.5,73.02,Clear
Camocim,Ceará,07-05-2020,87.9,76.5,81.8,,91.3,0,,14.6,,19.4,70.42,Clear
Camocim,Ceará,07-06-2020,80.5,73.1,75.4,,85.8,0,,10.5,,53,87.43,Partially cloudy
Camocim,Ceará,07-07-2020,86.1,71.6,77.7,,88.4,0,,14.2,,39.3,76.08,Partially cloudy
Camocim,Ceará,07-08-2020,86.2,75.1,80.5,,90.5,0,,15.3,,27,73.24,Partially cloudy
Camocim,Ceará,07-09-2020,84.5,74.7,79.2,,88.7,0,,17.1,,40.4,78.24,Partially cloudy
Camocim,Ceará,07-10-2020,86.2,74.7,80,,91.4,0,,18.5,,28,76.39,Partially cloudy
Camocim,Ceará,07-11-2020,88.2,76.3,81.6,,91.7,0,,13.1,,33.4,69.14,Partially cloudy
Camocim,Ceará,07-12-2020,85.9,76.9,80.2,,90.3,0,,14.8,,42.1,74.54,Partially cloudy
Camocim,Ceará,07/13/2020,86,73.2,79.8,,88.1,0,,16.1,,7.1,65.96,Clear
Camocim,Ceará,07/14/2020,88,72.9,79.9,,90.9,0,,15.3,,8.3,68.39,Clear
Camocim,Ceará,07/15/2020,86.6,74.6,80.2,,92.8,0,,14.2,27.7,24.3,74.84,Clear
